cf,trasparen,amministraz,avvis,selezion,contratt
00034670943,x,,,,
00102500527,,x,,,
00104330493,,,x,,
00107730079,x,,,,
00116600438,x,x,x,x,x
00119580439,x,x,x,x,x
00125720433,x,x,x,x,x
00129810438,x,x,x,x,x
00132100439,x,x,x,x,x
00132110438,x,x,x,x,x
00134550433,x,x,x,x,x
00137020871,,x,,,
00137890430,x,x,x,x,x
00138790431,x,x,x,x,x
00140670431,x,x,x,x,x
00169080439,x,x,x,x,x
00182490433,x,x,x,x,x
00185360435,x,x,x,x,x
00210940433,x,x,x,x,x
00215270430,x,x,x,x,x
00217240431,x,x,x,x,x
00218320430,x,x,x,x,x
00221260433,x,x,x,x,x
00221730120,,x,,,
00223660127,,x,,,
00224000430,x,x,x,x,x
00227430345,,x,,,
00239740905,x,,,,
00242630432,x,x,x,x,x
00242710432,x,x,x,x,x
00243720430,x,x,x,x,x
00244400438,x,x,x,x,x
00247300080,,x,,,
00247990815,,x,,,
00255040438,x,x,x,x,x
00262470438,x,x,x,x,x
00263210437,x,x,x,x,x
00265950436,x,x,x,x,x
00266030436,x,x,x,x,x
00267160430,x,x,x,x,x
00267220432,x,x,x,x,x
00268590437,x,x,x,x,x
00269440434,x,x,x,x,x
00276830437,x,x,x,x,x
00286490438,x,x,x,x,x
00299100834,,,,,x
00305020190,x,x,,,
00306180720,,x,,,
00310050190,x,x,,,
00312750433,x,x,x,x,x
00316820547,,x,,,
00339370272,x,,,,
00355870221,,,,,x
00356970442,x,x,x,x,x
00360090393,x,,,,
00392220752,,x,,,
00396110835,x,,,,
00414500751,,x,,,
00459960126,,,,x,
00462560756,,x,,,
00463680751,,x,,,
00480530047,x,,,,
00516890241,,x,,,x
00754860377,,x,,,
00852210178,x,,,,
00861930154,,x,,,
00865250724,x,,,,
00994350155,x,,,,
01199250158,,x,,,
01561670926,,x,,,
01566130157,,x,,,
01639920154,,x,,,
01650780156,,x,,,
01862180757,,x,,,
02254070150,,x,,,
02866100155,x,,,,
03064000155,,x,,,
03243880154,,x,,,
03334231200,x,,,,
03366130155,,x,,,
03519480150,x,x,x,x,x
80000110439,x,x,x,x,x
80001090754,,x,,,
80001370750,,x,,,
80001410754,,x,,,
80001550740,,x,,,
80002670604,,x,,,
80003910439,x,x,x,x,x
80006270872,x,,,,
80007530738,,x,,,
80008170757,,x,,,
80008270375,x,,,,
80008470751,,x,,,
80008830756,,x,,,
80008850754,,x,,,
80008990733,,x,,,
80010030734,,x,,,
80010510750,,x,,,
80012100758,,x,,,
80012540755,,x,,,
80012690758,,x,,,
80017750722,,x,,,
80100990151,,x,,,
81000130435,x,x,x,x,x
81000190439,x,x,x,x,x
81000230755,,x,,,
81000250431,x,x,x,x,x
81000410753,,x,,,
81000480434,x,x,x,x,x
81000730432,x,x,x,x,x
81000910430,x,x,x,x,x
81001150754,,x,,,
81001290758,,x,,,
81001370758,,x,,,
81001530757,,x,,,
81001650746,,x,,,
81001790740,,x,,,
81001810431,x,x,x,x,x
81002750750,,x,,,
81003250750,,x,,,
81003390754,,x,,,
81003470754,,x,,,
82000090751,,x,,,
82000330033,x,,x,,
82001170750,,x,,,
82001290756,,x,,,
82001370038,,,x,,
82002360756,,x,,,
82003090196,x,x,,,
83000110433,x,x,x,x,x
83000390753,,x,,,
83000690756,,x,,,
83000870754,,x,,,
83000990750,,x,,,
83001430756,,x,,,
83001950753,,x,,,
83002290431,x,x,x,x,x
83002470439,x,x,x,x,x
83002570436,x,x,x,x,x
83002690432,x,x,x,x,x
84006890481,x,,,,
95002830180,x,,,,
