cf,Regione,Provincia,des_amm,URLrobots,url,cod_amm,Comune,nome_resp,cogn_resp,Cap,sito_istituzionale,Indirizzo,titolo_resp,tipologia_istat,tipologia_amm,acronimo,cf_validato,mail1,tipo_mail1,mail2,tipo_mail2,mail3,tipo_mail3,mail4,tipo_mail4,mail5,tipo_mail5,url_facebook,url_twitter,url_youtube,url_linkedin,liv_accessibili,HTTPreply,robots
00008010803,Calabria,RC,Comune di Cinquefrondi,,www.comune.cinquefrondi.rc.it,c_c710,Cinquefrondi,Marco,Cascarano,89021,www.comune.cinquefrondi.rc.it,Corso Garibaldi 103,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@pec.comune.cinquefrondi.rc.it,pec,null,null,null,null,null,null,null,null,,,,null,0,404,
00031500945,Molise,IS,Comune di Colli a Volturno,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00031500945.txt,www.comune.colliavolturno.is.it,c_c878,Colli a Volturno,EMILIO,INCOLLINGO,86073,www.comune.colliavolturno.is.it,"Piazza Municipio, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,colliavolturno@pec.it,pec,colliavolturno@libero.it,altro,null,null,null,null,null,null,,,,null,0,200,x
00031730948,Molise,IS,Comune di Santa Maria del Molise,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00031730948.txt,www.comune.santamariadelmolise.is.it,c_i238,Santa Maria del Molise,ERMINIA,MIGNELLI,86096,www.comune.santamariadelmolise.is.it,"Via Corradino, 6",SINDACO,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.santamariadelmolise.is@pec-leonet.it,pec,comune@comune.santamariadelmolise.is.it,altro,null,null,null,null,null,null,,,,null,0,200,x
00033120437,Marche,MC,Comune di Matelica,,www.comune.matelica.mc.it,c_f051,Matelica,Massimo,Baldini,62024,www.comune.matelica.mc.it,"via Spontini, 4",sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo.comunematelica@pec.it,pec,comune@comune.matelica.mc.it,altro,poliziamunicipale.comunematelica@pec.it,pec,null,null,null,null,https://www.facebook.com/comunedimatelica/,,,,0,404,
00034670943,Molise,IS,Comune di Isernia,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00034670943.txt,www.comune.isernia.it,c_e335,Isernia,GIACOMO,d'APOLLONIO,86170,www.comune.isernia.it,"Piazza Marconi, 1",SINDACO,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comuneisernia@pec.it,pec,segreteriagenerale@comune.isernia.it,altro,null,null,null,null,null,null,,,,null,0,200,x
00038870945,Molise,IS,Comune di Carpinone,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00038870945.txt,www.comune.carpinone.is.it,c_b830,Carpinone,Pasquale,Sarao,86093,www.comune.carpinone.is.it,"Viale Stazione Fs, 2",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comunecarpinone@pec.leonet.it,pec,comune@comune.carpinone.is.it,altro,null,null,null,null,null,null,,,,null,0,200,x
00043820620,Campania,BN,Comune di Telese Terme,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00043820620.txt,www.comune.teleseterme.bn.it,c_l086,Telese Terme,Pasquale,Carofano,82037,www.comune.teleseterme.bn.it,"Viale Minieri, 146",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.teleseterme.protocollo@pec.cstsannio.it,pec,comune.teleseterme.segreteria@pec.cstsannio.it,pec,comune.teleseterme.servdem@pec.it,pec,comune.teleseterme.llpp@pec.cstsannio.it,pec,tributi.teleseterme@anutel.it,pec,,,,null,0,200,x
00046540860,Sicilia,EN,Comune di Piazza Armerina,,www.comune.piazzaarmerina.en.it,c_g580,Piazza Armerina,Antonino,Cammarata,94015,www.comune.piazzaarmerina.en.it,Piazza Garibaldi - Atrio Fundro',Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,info@pec.comunepiazzaarmerina.it,pec,info@comunepiazzaarmerina.it,altro,null,null,null,null,null,null,,,,null,1,404,
00046840864,Sicilia,EN,Comune di Valguarnera Caropepe,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00046840864.txt,www.comune.valguarnera.en.it,c_l583,Valguarnera Caropepe,Francesca,Draia,94019,www.comune.valguarnera.en.it,"Piazza Della Repubblica, 10",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,sindacodraia.vg@comune.pec.it,pec,comunevalguarnera@pec.it,pec,segretario@comune.valguarnera.en.it,altro,settoretributi@comune.valguarnera.en.it,altro,null,null,,,,,0,200,x
00050800523,Toscana,SI,Comune di Siena,,www.comune.siena.it,c_i726,Siena,Luigi,De Mossi,53100,www.comune.siena.it,"Piazza Il Campo, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.siena@postacert.toscana.it,pec,null,null,null,null,null,null,null,null,,,,null,0,302,
