Cf	cod_amm	des_amm	Comune	nome_resp	cogn_resp	Cap	Provincia	Regione	sito_istituzionale	Indirizzo	titolo_resp	tipologia_istat	tipologia_amm	acronimo	cf_validato	mail1	tipo_mail1	mail2	tipo_mail2	mail3	tipo_mail3	mail4	tipo_mail4	mail5	tipo_mail5	url_facebook	url_twitter	url_youtube	url_linkedin	liv_accessibili	alert	nb
00414580183	A690_bpe	Comune di Bascape'	Bascape'	Emanuela	Curti	27010	PV	Lombardia	www.comune.bascape.pv.it	Piazza Della Repubblica 2	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.bascape@pec.regione.lombardia.it	pec	info@comune.bascape.pv.it	altro	ragioneria@comune.bascape.pv.it	altro	null	null	null	null				null	0		
02641830829	acbpa	Acquedotto Consortile Biviere	Monreale	Enrico	Russo	90046	PA	Sicilia	www.acquedottobiviere.it/	Via Altofonte 62a	Direttore	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni	ACB	S	protocollo@pec.acquedottobiviere.it	pec	direttore@acquedottobiviere.it	altro	null	null	null	null	null	null				null	0		
00124590332	acsvd	Azienda Consortile Servizi Val D'Arda	Fiorenzuola D'arda	Cesare	Nani	29017	PC	Emilia Romagna	www.consorzioarda.it	Via Pallavicino 8	Presidente Consiglio Di Amministrazione	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	info@pec.consorzioarda.it	pec	null	null	null	null	null	null	null	null				null	0		
80015560214	acvgc	Azienda Consortile Val Gardena - Castelrotto	Ortisei	Bruno	Senoner	39046	BZ	Trentino Alto Adige		Via Roma, 2	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	aziendaconsortile@pec.it	pec	christine.schmalzl@comune.ortisei.bz.it	altro	null	null	null	null	null	null				null	0		
05548710655	agrosol	Agro Solidale Azienda Territoriale per I Servizi alla Persona	Pagani	Francesca	Annunziata	84016	SA	Campania	www.agrosolidale.it	Via Pittoni, 1	Presidente CdA	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni	AGROSOLIDALE	S	AGROSOLIDALE@PEC.IT	pec	null	null	null	null	null	null	null	null				null	0		1
91008130600	aivdl	Associazione Intercomunale Valle del Liri	Pastena	Iliano	Corsetti	03020	FR	Lazio	www.valledelliri.fr.it	Piazza Del Maggio	Legale Rappresentante	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	ass.valledelliri@pec.it	pec	null	null	null	null	null	null	null	null				null	0		1
92063420704	alicom	Ali Comunimolisani	Campobasso	Raffaele	Malatesta	86100	CB	Molise	www.alicomunimolisani.it	Via Genova, 11	Direttore Amministrativo	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni	ALI COMUNIMOLISANI	S	alicomunimolisani@cert.regione.molise.it	pec	redazione@alicomunimolisani.it	altro	null	null	null	null	null	null				null	0		1
02157030400	ampr	Patrimonio Mobilita Provincia di Rimini	Rimini	Massimo	Paganelli	47923	RN	Emilia Romagna	www.pmrimini.it	Via Dario Campana, 67	Amministratore Unico - Legale Rappresentante	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	pmrimini@legalmail.it	pec	info@pmrimini.it	altro	null	null	null	null	null	null					0		1
80097160016	ancip	Anci Piemonte	Torino	Anci	Piemonte	10123	TO	Piemonte	www.anci.piemonte.it	Via Maria Vittoria 12	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	anci.piemonte@pec.it	pec	null	null	null	null	null	null	null	null					0		1
80012110245	anciv	Anci Veneto	Selvazzano Dentro	Carlo	Rapicavoli	35030	PD	Veneto	www.anciveneto.org/	Melchiorre Cesarotti, 17	Direttore	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	anciveneto@pec.it	pec	null	null	null	null	null	null	null	null	https://www.facebook.com/Anciveneto/			null	0		1
91030340672	ascast	Azienda Speciale Consortile Ambito Sociale Tordino	Giulianova	Antonietta	Spinozzi	64021	TE	Abruzzo	www.ambitosocialetordino.it	Via Cavour, 2	Direttore	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	fpaconsorzioast@legalmail.it	pec	null	null	null	null	null	null	null	null				null	0		
